"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2017","90.67","90.50","90.60","90.50","0.03K","-0.68%"
"Nov 06, 2017","91.29","91.29","91.29","91.29","0.01K","0.67%"
"Nov 03, 2017","90.68","90.50","90.50","90.50","0.00K","-1.76%"
"Nov 02, 2017","92.30","93.25","93.30","92.50","0.03K","-0.56%"
"Nov 01, 2017","92.82","93.00","93.35","92.70","0.06K","0.71%"
"Oct 31, 2017","92.17","90.75","92.25","90.70","0.05K","1.14%"
"Oct 30, 2017","91.13","91.00","91.10","90.75","0.03K","0.04%"
"Oct 27, 2017","91.09","90.75","91.00","90.75","0.01K","0.79%"
"Oct 26, 2017","90.38","90.50","91.00","90.50","0.02K","0.09%"
"Oct 25, 2017","90.30","89.90","90.50","89.90","0.02K","1.14%"
"Oct 24, 2017","89.28","88.00","89.25","88.00","0.04K","0.88%"
"Oct 23, 2017","88.50","88.90","88.90","88.90","0.00K","-0.78%"
"Oct 20, 2017","89.20","89.00","89.30","88.85","0.04K","-0.38%"
"Oct 19, 2017","89.54","91.85","91.85","89.00","0.03K","-2.01%"
"Oct 18, 2017","91.38","90.75","91.50","90.50","0.04K","1.76%"
"Oct 17, 2017","89.80","90.50","90.75","90.00","0.01K","-0.49%"
"Oct 16, 2017","90.24","89.50","90.30","89.40","0.07K","1.82%"
"Oct 13, 2017","88.63","88.50","88.75","88.20","0.01K","0.09%"
"Oct 12, 2017","88.55","89.00","89.00","87.75","0.05K","0.63%"
"Oct 11, 2017","88.00","87.35","88.00","87.30","0.02K","2.03%"
"Oct 10, 2017","86.25","85.50","86.20","85.00","0.03K","0.16%"
"Oct 09, 2017","86.11","85.25","86.00","84.90","0.01K","0.15%"
"Oct 06, 2017","85.98","86.25","86.30","85.50","0.04K","-1.22%"
"Oct 05, 2017","87.04","88.00","88.00","87.00","0.03K","0.03%"
"Oct 04, 2017","87.01","86.25","87.50","86.25","0.10K","1.35%"
"Oct 03, 2017","85.85","85.40","86.35","85.40","0.02K","0.81%"
"Oct 02, 2017","85.16","83.85","85.20","83.75","0.04K","1.39%"
"Sep 29, 2017","83.99","85.55","85.55","83.75","0.06K","-1.88%"
"Sep 28, 2017","85.60","87.25","87.30","85.25","0.03K","-2.78%"
"Sep 27, 2017","88.05","87.50","87.75","87.50","0.04K","0.34%"
"Sep 26, 2017","87.75","88.40","88.50","87.50","0.02K","-0.75%"
"Sep 25, 2017","88.41","87.50","88.50","87.50","0.02K","1.76%"
"Sep 22, 2017","86.88","86.50","87.00","86.50","0.01K","0.10%"
"Sep 21, 2017","86.79","87.00","87.65","87.00","0.06K","-1.26%"
"Sep 20, 2017","87.90","86.50","88.00","86.50","0.02K","1.12%"
"Sep 19, 2017","86.93","85.25","87.00","85.25","0.02K","1.62%"
"Sep 18, 2017","85.54","86.00","86.00","85.55","0.03K","-1.38%"
"Sep 15, 2017","86.74","87.10","87.10","86.50","0.03K","-0.53%"
"Sep 14, 2017","87.20","88.00","88.15","87.60","0.09K","0.13%"
"Sep 13, 2017","87.09","86.40","87.15","86.40","0.03K","1.29%"
"Sep 12, 2017","85.98","86.00","86.50","86.00","0.06K","-0.67%"
"Sep 11, 2017","86.56","86.10","86.40","85.70","0.03K","1.67%"
"Sep 08, 2017","85.14","84.90","84.90","84.90","0.01K","0.67%"
"Sep 07, 2017","84.57","84.60","84.60","84.50","0.02K","0.09%"
"Sep 06, 2017","84.49","85.00","85.00","84.50","0.01K","0.14%"
"Sep 05, 2017","84.37","84.00","84.60","84.00","0.02K","1.52%"
"Sep 04, 2017","83.11","81.25","83.25","81.50","0.02K","1.60%"
"Sep 01, 2017","81.80","81.85","82.00","81.70","0.02K","1.64%"
"Aug 31, 2017","80.48","81.25","81.25","80.50","0.05K","-1.71%"
"Aug 30, 2017","81.88","82.00","82.00","81.75","0.02K","-0.90%"
"Aug 29, 2017","82.62","84.00","84.00","82.75","0.01K","-0.99%"
"Aug 28, 2017","83.45","83.50","83.50","83.50","0.00K","0.42%"
"Aug 25, 2017","83.10","83.00","83.00","83.00","0.02K","0.23%"
"Aug 24, 2017","82.91","82.40","82.40","82.40","0.00K","0.75%"
"Aug 23, 2017","82.29","82.40","82.40","82.40","0.00K","0.29%"
"Aug 22, 2017","82.05","82.00","82.00","82.00","0.00K","-0.33%"
"Aug 21, 2017","82.32","82.00","82.00","82.00","0.01K","-0.28%"
"Aug 18, 2017","82.55","82.75","82.75","82.25","0.02K","-0.01%"
"Aug 17, 2017","82.56","82.90","83.00","82.50","0.03K","0.86%"
"Aug 16, 2017","81.86","81.50","82.00","81.50","0.02K","1.99%"
"Aug 15, 2017","80.26","81.00","81.00","80.10","0.02K","-0.86%"
"Aug 14, 2017","80.96","80.25","81.00","80.25","0.02K","0.67%"
"Aug 11, 2017","80.42","79.85","80.30","79.85","0.03K","0.47%"
"Aug 10, 2017","80.04","79.40","80.00","79.40","0.05K","1.55%"
"Aug 09, 2017","78.82","78.25","78.70","78.25","0.05K","1.05%"
"Aug 08, 2017","78.00","79.00","79.25","78.75","0.03K","-2.07%"
"Aug 07, 2017","79.65","79.50","79.50","79.25","0.01K","0.19%"
"Aug 04, 2017","79.50","79.35","79.70","79.25","0.02K","1.33%"
"Aug 03, 2017","78.46","77.50","77.50","77.00","0.08K","-0.09%"
"Aug 02, 2017","78.53","79.20","79.20","78.50","0.07K","-1.03%"
"Aug 01, 2017","79.35","81.00","81.00","80.00","0.05K","-1.53%"
"Jul 31, 2017","80.58","78.00","81.00","78.00","0.06K","4.04%"
"Jul 28, 2017","77.45","77.00","77.75","77.00","0.03K","1.77%"
"Jul 27, 2017","76.10","76.00","76.35","76.00","0.02K","0.66%"
"Jul 26, 2017","75.60","75.75","75.90","75.25","0.04K","-1.24%"
"Jul 25, 2017","76.55","75.65","76.50","75.65","0.01K","1.93%"
"Jul 24, 2017","75.10","76.00","76.00","75.00","0.03K","-2.28%"
"Jul 21, 2017","76.85","78.00","78.00","76.55","0.02K","-0.86%"
"Jul 20, 2017","77.52","77.75","78.00","77.40","0.02K","0.68%"
"Jul 19, 2017","77.00","78.00","78.50","76.85","0.05K","-0.68%"
"Jul 18, 2017","77.53","75.65","77.50","75.65","0.08K","3.29%"
"Jul 17, 2017","75.06","74.00","75.00","74.00","0.03K","2.00%"
"Jul 14, 2017","73.59","73.00","73.00","73.00","0.03K","0.15%"
"Jul 13, 2017","73.48","74.00","74.00","73.45","0.03K","0.31%"
"Jul 12, 2017","73.25","73.25","73.25","73.25","0.01K","-0.68%"
"Jul 11, 2017","73.75","73.50","73.50","73.10","0.06K","1.81%"
"Jul 10, 2017","72.44","73.00","73.00","72.75","0.01K","-0.39%"
"Jul 07, 2017","72.72","72.72","72.72","72.72","0.01K","-0.26%"
"Jul 06, 2017","72.91","72.75","73.00","72.50","0.04K","0.55%"
"Jul 05, 2017","72.51","73.00","73.00","73.00","0.03K","0.24%"
"Jul 04, 2017","72.34","71.75","72.00","71.75","0.04K","1.26%"
"Jul 03, 2017","71.44","70.85","71.50","70.85","0.01K","2.90%"
"Jun 30, 2017","69.43","69.70","69.70","69.70","0.02K","-0.22%"
"Jun 29, 2017","69.58","70.60","70.60","69.50","0.04K","-1.23%"
"Jun 28, 2017","70.45","70.90","70.90","70.50","0.02K","-0.40%"
"Jun 27, 2017","70.73","70.75","70.90","70.75","0.01K","1.13%"
"Jun 26, 2017","69.94","70.25","70.25","69.85","0.01K","-1.16%"
"Jun 23, 2017","70.76","71.00","71.00","70.75","0.00K","-0.63%"
"Jun 22, 2017","71.21","71.40","71.40","71.30","0.03K","-0.28%"
"Jun 21, 2017","71.41","71.41","71.41","71.41","0.01K","-0.82%"
"Jun 20, 2017","72.00","73.25","73.25","72.05","0.05K","-1.29%"
"Jun 19, 2017","72.94","72.00","72.95","72.00","0.01K","1.93%"
"Jun 16, 2017","71.56","71.56","71.56","71.56","0.01K","-0.15%"
"Jun 15, 2017","71.67","71.50","71.50","71.50","0.01K","1.16%"
"Jun 14, 2017","70.85","70.50","70.50","70.00","0.02K","0.06%"
"Jun 13, 2017","70.81","70.80","70.80","70.40","0.08K","-0.55%"
"Jun 12, 2017","71.20","71.75","71.75","71.40","0.09K","-1.03%"
"Jun 09, 2017","71.94","71.94","71.94","71.94","0.03K","-0.37%"
"Jun 08, 2017","72.21","72.05","72.25","72.05","0.04K","1.18%"
"Jun 07, 2017","71.37","72.00","72.00","71.70","0.09K","0.66%"
"Jun 06, 2017","70.90","71.00","71.05","70.90","0.07K","0.34%"
"Jun 05, 2017","70.66","70.50","70.75","70.40","0.06K","1.30%"
"Jun 02, 2017","69.75","68.25","69.75","68.25","0.18K","1.90%"
"Jun 01, 2017","68.45","67.30","67.30","67.30","0.10K","1.74%"
"May 31, 2017","67.28","68.35","68.35","67.20","0.10K","-1.28%"
"May 30, 2017","68.15","68.00","68.20","68.00","0.04K","1.23%"
"May 29, 2017","67.32","67.32","67.32","67.32","-","0.00%"
"May 26, 2017","67.32","67.32","67.32","67.32","0.01K","-0.36%"
"May 25, 2017","67.56","67.70","67.90","67.70","0.02K","-0.72%"
"May 24, 2017","68.05","68.40","68.40","68.00","0.02K","-0.82%"
"May 23, 2017","68.61","68.25","69.00","68.25","0.02K","0.37%"
"May 22, 2017","68.36","68.00","68.50","68.00","0.05K","1.14%"
"May 19, 2017","67.59","68.10","68.10","68.10","0.02K","0.07%"
"May 18, 2017","67.54","68.50","68.50","67.50","0.10K","-1.44%"
"May 17, 2017","68.53","67.25","68.60","67.25","0.17K","2.21%"
"May 16, 2017","67.05","66.90","67.25","66.90","0.03K","1.09%"
"May 15, 2017","66.33","65.75","66.50","65.75","0.05K","-0.21%"
"May 12, 2017","66.47","66.47","66.47","66.47","0.03K","-0.12%"
"May 11, 2017","66.55","66.85","67.00","66.85","0.11K","-1.55%"
"May 10, 2017","67.60","67.00","67.50","67.00","0.12K","0.52%"
"May 09, 2017","67.25","67.50","67.50","66.90","0.09K","-0.52%"
"May 08, 2017","67.60","69.00","69.00","67.60","0.06K","-2.71%"
"May 05, 2017","69.48","69.70","69.70","69.50","0.14K","-0.69%"
"May 04, 2017","69.96","70.00","70.00","70.00","0.06K","-1.09%"
"May 03, 2017","70.73","71.00","71.00","70.75","0.07K","-1.01%"
"May 02, 2017","71.45","71.50","71.60","71.45","0.06K","-0.33%"
"May 01, 2017","71.69","71.69","71.69","71.69","-","0.00%"
"Apr 28, 2017","71.69","72.00","72.00","72.00","0.03K","-1.12%"
"Apr 27, 2017","72.50","72.60","72.60","72.50","0.04K","1.38%"
"Apr 26, 2017","71.51","71.51","71.51","71.51","0.02K","1.06%"
"Apr 25, 2017","70.76","70.90","70.90","70.75","0.05K","-0.60%"
"Apr 24, 2017","71.19","71.70","71.70","71.25","0.03K","-1.68%"
"Apr 21, 2017","72.41","72.41","72.41","72.41","0.04K","-0.14%"
"Apr 20, 2017","72.51","72.50","72.65","72.50","0.03K","0.74%"
"Apr 19, 2017","71.98","72.50","72.50","71.90","0.02K","-0.14%"
"Apr 18, 2017","72.08","71.70","72.30","71.70","0.02K","0.39%"
"Apr 17, 2017","71.80","71.80","71.80","71.80","-","0.00%"
"Apr 13, 2017","71.80","72.10","72.10","72.00","0.01K","0.45%"
"Apr 12, 2017","71.48","72.00","72.25","71.50","0.02K","-0.29%"
"Apr 11, 2017","71.69","71.50","71.75","71.50","0.01K","-0.57%"
"Apr 10, 2017","72.10","73.00","73.00","72.50","0.01K","-2.57%"
"Apr 07, 2017","74.00","74.50","74.50","74.00","0.03K","-1.07%"
"Apr 06, 2017","74.80","74.90","75.00","74.75","0.04K","-0.68%"
"Apr 05, 2017","75.31","74.50","75.30","74.20","0.01K","1.29%"
"Apr 04, 2017","74.35","76.25","76.25","74.50","0.06K","-2.06%"
"Apr 03, 2017","75.91","74.00","76.00","74.00","0.12K","4.43%"
"Mar 31, 2017","72.69","73.00","73.25","72.65","0.03K","0.36%"
"Mar 30, 2017","72.43","71.60","72.50","71.60","0.04K","-0.36%"
"Mar 29, 2017","72.69","72.50","72.75","72.10","0.04K","0.40%"
"Mar 28, 2017","72.40","70.85","72.40","70.85","0.03K","2.26%"
"Mar 27, 2017","70.80","72.00","72.00","70.75","0.03K","-1.16%"
"Mar 24, 2017","71.63","71.75","72.00","71.75","0.01K","0.62%"
"Mar 23, 2017","71.19","70.75","71.25","70.50","0.02K","2.02%"
"Mar 22, 2017","69.78","69.85","70.25","69.85","0.04K","-1.02%"
"Mar 21, 2017","70.50","71.05","71.05","70.40","0.05K","-1.41%"
"Mar 20, 2017","71.51","72.00","72.00","71.50","0.04K","-1.58%"
"Mar 17, 2017","72.66","73.00","73.00","72.50","0.01K","0.35%"
"Mar 16, 2017","72.41","73.00","73.00","72.25","0.03K","-0.81%"
"Mar 15, 2017","73.00","73.00","73.50","72.70","0.03K","0.83%"
"Mar 14, 2017","72.40","73.90","74.25","72.40","0.02K","-0.82%"
"Mar 13, 2017","73.00","72.75","73.25","72.60","0.02K","1.70%"
"Mar 10, 2017","71.78","71.40","72.00","71.40","0.07K","1.82%"
"Mar 09, 2017","70.50","71.15","71.25","70.40","0.10K","-1.45%"
"Mar 08, 2017","71.54","71.45","72.00","71.25","0.07K","-0.75%"
"Mar 07, 2017","72.08","73.00","73.15","72.00","0.05K","-2.83%"
"Mar 06, 2017","74.18","73.70","74.10","73.65","0.01K","-0.23%"
"Mar 03, 2017","74.35","75.00","75.00","74.00","0.03K","-1.08%"
"Mar 02, 2017","75.16","76.00","76.00","75.05","0.06K","-1.11%"
"Mar 01, 2017","76.00","75.25","76.25","75.00","0.03K","1.33%"
"Feb 28, 2017","75.00","75.30","75.40","75.00","0.01K","-0.71%"
"Feb 27, 2017","75.54","75.40","75.40","75.40","0.01K","-1.00%"
"Feb 24, 2017","76.30","76.50","76.50","76.25","0.01K","0.14%"
"Feb 23, 2017","76.19","76.25","76.50","76.25","0.01K","0.97%"
"Feb 22, 2017","75.46","75.50","75.50","75.50","0.01K","-0.59%"
"Feb 21, 2017","75.91","77.00","77.00","76.15","0.01K","-0.63%"
"Feb 20, 2017","76.39","75.00","77.00","75.00","0.06K","3.10%"
"Feb 17, 2017","74.09","74.09","74.09","74.09","-","0.65%"
"Feb 16, 2017","73.61","74.00","74.00","74.00","0.04K","0.68%"
"Feb 15, 2017","73.11","73.00","73.50","73.00","0.03K","1.25%"
"Feb 14, 2017","72.21","71.90","72.25","71.90","0.00K","-0.07%"
"Feb 13, 2017","72.26","72.00","72.00","71.90","0.01K","-0.07%"
"Feb 10, 2017","72.31","72.00","72.60","72.00","0.01K","-0.32%"
"Feb 09, 2017","72.54","72.50","72.50","72.50","0.02K","0.35%"
"Feb 08, 2017","72.29","72.50","72.50","72.50","0.20K","-0.50%"
"Feb 07, 2017","72.65","72.00","72.90","72.00","0.06K","0.26%"
"Feb 06, 2017","72.46","72.00","72.00","72.00","0.01K","-0.82%"
"Feb 03, 2017","73.06","73.45","73.45","72.95","0.08K","-1.02%"
"Feb 02, 2017","73.81","73.50","73.50","73.50","0.03K","1.60%"
"Feb 01, 2017","72.65","73.00","73.00","72.50","0.01K","0.22%"
"Jan 31, 2017","72.49","72.35","73.00","72.35","0.02K","2.04%"
"Jan 30, 2017","71.04","71.00","71.00","71.00","0.01K","-9.51%"
"Jan 27, 2017","78.51","78.51","78.51","78.51","-","-1.62%"
"Jan 26, 2017","79.80","79.80","79.80","79.80","0.01K","0.01%"
"Jan 25, 2017","79.79","79.79","79.79","79.79","0.01K","-0.20%"
"Jan 24, 2017","79.95","79.95","79.95","79.95","0.02K","-0.09%"
