"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14, 2017","25.90","25.90","25.90","25.90","-","-3.18%"
"Feb 13, 2017","26.75","26.75","26.75","26.75","-","0.00%"
"Feb 10, 2017","26.75","26.75","26.75","26.75","-","0.38%"
"Feb 09, 2017","26.65","26.65","26.65","26.65","-","0.57%"
"Feb 08, 2017","26.50","26.50","26.50","26.50","-","1.34%"
"Feb 07, 2017","26.15","26.15","26.15","26.15","-","0.00%"
"Feb 06, 2017","26.15","26.15","26.15","26.15","-","1.55%"
"Feb 03, 2017","25.75","25.75","25.75","25.75","-","1.98%"
"Feb 02, 2017","25.25","25.25","25.25","25.25","-","1.00%"
"Feb 01, 2017","25.00","25.00","25.00","25.00","-","1.42%"
"Jan 31, 2017","24.65","24.65","24.65","24.65","-","0.61%"
"Jan 30, 2017","24.50","24.50","24.50","24.50","-","4.26%"
"Jan 27, 2017","23.50","23.50","23.50","23.50","-","1.08%"
"Jan 26, 2017","23.25","23.25","23.25","23.25","-","0.00%"
"Jan 25, 2017","23.25","23.25","23.25","23.25","-","1.53%"
"Jan 24, 2017","22.90","22.90","22.90","22.90","-","0.00%"
"Jan 23, 2017","22.90","22.90","22.90","22.90","-","0.00%"
"Jan 20, 2017","22.90","22.90","22.90","22.90","-","0.66%"
"Jan 19, 2017","22.75","22.75","22.75","22.75","-","0.00%"
"Jan 18, 2017","22.75","22.75","22.75","22.75","-","-0.66%"
"Jan 17, 2017","22.90","22.90","22.90","22.90","-","-0.43%"
"Jan 13, 2017","23.00","23.00","23.00","23.00","-","0.00%"
"Jan 12, 2017","23.00","23.00","23.00","23.00","-","0.00%"
"Jan 11, 2017","23.00","23.00","23.00","23.00","-","-5.15%"
"Jan 10, 2017","24.25","24.25","24.25","24.25","-","10.23%"
"Jan 09, 2017","22.00","22.00","22.00","22.00","-","0.46%"
"Jan 06, 2017","21.90","21.90","21.90","21.90","-","1.15%"
"Jan 05, 2017","21.65","21.65","21.65","21.65","-","0.00%"
"Jan 04, 2017","21.65","21.65","21.65","21.65","-","5.61%"
"Jan 03, 2017","20.50","20.50","20.50","20.50","-","0.49%"
"Dec 30, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 29, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 28, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 27, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 23, 2016","20.40","20.40","20.40","20.40","-","0.00%"
